round,task,family,quick_delta_pp,quick_cfg,med_delta_pp,med_cfg,reversal_qpos_mnonpos
401,protein_ss_seed166_discovery,protein_ss,3.001974028600196,scalar_l8_sched_cos,0.15598029249292433,scalar_l8_sched_cos,False
402,mbpp_seed90_headprobe,mbpp,2.6693914668555196,scalar_l8_sched_cos,-1.8512441522521406,scalar_l8_sched_cos,True
402,protein_ss_seed167_discovery,protein_ss,0.37575951391109474,head_l8,,,False
403,squad_seed48_discovery,squad,1.005050505050506,scalar_l8_sched_cos,0.7273184293800861,scalar_l8_sched_cos,False
404,mbpp_longctx_seed57_repair,mbpp_longctx,0.0,head_l8,,,False
404,protein_ss_seed168_discovery,protein_ss,0.4853620955315885,scalar_l8_train1e4,,,False
405,arc_mc_seed115_discovery,arc_mc,12.5,scalar_l8_train1e4,12.5,scalar_l8_train1e4,False
405,mbpp_seed91_headprobe,mbpp,0.6546662469177567,head_l10_strong,,,False
406,hotpot_seed67_discovery,hotpot,3.9762939762939777,scalar_l8_train1e4,0.35791035791035986,scalar_l8_train1e4,False
406,protein_ss_seed169_discovery,protein_ss,3.302618481895153,head_l8,3.5392273192113963,head_l8,False
407,mbpp_longctx_seed58_repair,mbpp_longctx,-2.3396356729690067,head_l8,,,False
407,squad_seed49_anchor,squad,0.7575757575757569,scalar_l8_sched_cos,,,False
408,arc_mc_seed116_discovery,arc_mc,4.166666666666669,scalar_l8_train1e4,0.0,scalar_l8_train1e4,True
408,protein_ss_seed170_discovery,protein_ss,8.271298917128211,scalar_l8_train1e4,3.6797522910849203,scalar_l8_train1e4,False
409,arc_mc_seed117_discovery,arc_mc,-8.333333333333337,scalar_l8_train1e4,,,False
409,protein_ss_seed171_discovery,protein_ss,3.3718280900900344,scalar_l8_sched_cos,2.48587562857388,scalar_l8_sched_cos,False
410,mbpp_seed92_headprobe,mbpp,1.2475501281471402,scalar_l8_sched_cos,1.8874283788338275,scalar_l8_sched_cos,False
410,protein_ss_seed172_discovery,protein_ss,-0.3423824114254348,scalar_l8_train1e4,,,False
411,squad_seed50_discovery,squad,0.755050505050503,scalar_l8_sched_cos,,,False
412,mbpp_longctx_seed59_repair,mbpp_longctx,-0.8547008547008544,scalar_l8_train1e4,,,False
412,protein_ss_seed173_discovery,protein_ss,2.978823527764013,scalar_l8_train1e4,2.978823527764013,scalar_l8_train1e4,False
413,arc_mc_seed118_discovery,arc_mc,-4.166666666666669,scalar_l8_train1e4,,,False
413,mbpp_seed93_headprobe,mbpp,-0.9173063549736404,scalar_l8_train1e4,,,False
414,hotpot_seed68_discovery,hotpot,3.5768285768285764,head_l8,-0.5504063837397155,head_l8,True
414,protein_ss_seed174_discovery,protein_ss,4.576880234774977,scalar_l8_sched_cos,4.576880234774977,scalar_l8_sched_cos,False
415,mbpp_longctx_seed60_repair,mbpp_longctx,0.47483380816714105,head_l8,,,False
415,squad_seed51_anchor,squad,0.755050505050503,scalar_l8_sched_cos,,,False
416,arc_mc_seed119_discovery,arc_mc,8.333333333333332,scalar_l8_train1e4,0.0,scalar_l8_train1e4,True
416,protein_ss_seed175_discovery,protein_ss,0.0,head_l8,,,False
417,arc_mc_seed120_discovery,arc_mc,4.166666666666669,scalar_l8_sched_cos,12.5,scalar_l8_sched_cos,False
417,protein_ss_seed176_discovery,protein_ss,2.321399550189512,head_l8,0.04423178566153041,head_l8,False
418,mbpp_seed94_headprobe,mbpp,0.19880547655805048,scalar_l8_sched_cos,,,False
418,protein_contact_seed2_discovery,protein_contact,0.0,head_l8,,,False
419,hotpot_seed69_discovery,hotpot,0.14332514332514312,scalar_l8_train1e4,,,False
419,squad_seed52_discovery,squad,2.002525252525253,scalar_l8_sched_cos,0.07010077764504352,scalar_l8_sched_cos,False
420,mbpp_longctx_seed61_repair,mbpp_longctx,4.558404558404561,scalar_l8_sched_cos,-0.043290043290039604,scalar_l8_sched_cos,True
420,protein_ss_seed177_discovery,protein_ss,0.8999717150508568,scalar_l8_sched_cos,2.4831431193515554,scalar_l8_sched_cos,False
421,arc_mc_seed121_discovery,arc_mc,0.0,scalar_l8_train8e5,,,False
421,protein_contact_seed3_discovery,protein_contact,0.0,head_l8,,,False
422,mbpp_seed95_headprobe,mbpp,2.2764963063470534,head_l10_strong,2.3730715002902745,head_l10_strong,False
422,protein_ss_seed178_discovery,protein_ss,0.47840285288340834,head_l8,,,False
423,protein_contact_seed4_discovery,protein_contact,0.0,head_l8,,,False
423,squad_seed53_anchor,squad,-0.762626262626262,scalar_l8_train1e4,,,False
424,protein_contact_seed5_discovery,protein_contact,0.0,head_l8,,,False
424,protein_ss_seed179_discovery,protein_ss,0.03194962271679813,scalar_l8_sched_cos,,,False
425,arc_mc_seed122_discovery,arc_mc,8.333333333333337,scalar_l8_sched_cos,8.333333333333337,scalar_l8_sched_cos,False
425,protein_ss_seed180_discovery,protein_ss,3.743420820269372,scalar_l8_sched_cos,3.743420820269372,scalar_l8_sched_cos,False
426,mbpp_seed96_headprobe,mbpp,0.1710033301695113,head_l10_strong,,,False
426,protein_contact_seed6_discovery,protein_contact,0.0,head_l8,,,False
427,hotpot_seed70_discovery,hotpot,2.4109074109074107,scalar_l8_sched_cos,-1.688843026052328,scalar_l8_sched_cos,True
